FedDistrict;Region;City;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Центральный;Белгородская;Грайворон;815;815;665;665;665;665;235;575;565;555;555;520;520;520;420;420;355;355;333;332;312;312;307
Центральный;Белгородская;Короча;320;320;320;300;355;270;270;270;270;270;270;270;270;265;280;270;182;173;172;172;172;172;172
Центральный;Белгородская;Бирюч;;;;;;;;;;;;;;;;;172;164;163;171;171;171;165
Центральный;Белгородская;Новый Оскол;285;265;325;315;315;310;310;310;310;310;310;301;301;290;280;279;200;192;218;216;216;216;230
Центральный;Белгородская;Строитель;;;;;;;;;;;469;332;304;292;304;334;204;192;188;189;187;189;189
Центральный;Белгородская;Белгород;5825;6125;6105;5936;5870;5900;6080;6080;6160;6160;6240;5965;5980;5935;5920;5864;5318;5125;5203;5201;5201;5379;5377
Центральный;Белгородская;Алексеевка;620;565;570;570;570;560;570;570;575;575;575;605;605;600;601;592;421;405;405;405;403;415;412
Центральный;Белгородская;Валуйки;795;795;795;800;810;760;770;770;770;770;785;705;640;615;555;554;410;391;381;381;391;424;422
Центральный;Белгородская;Губкин;970;935;935;1035;1040;890;805;955;930;930;1015;915;895;885;865;895;728;698;698;698;688;688;688
Центральный;Белгородская;Старый Оскол;2400;2550;1930;1765;1780;1740;1860;2000;2000;2400;1990;1975;2375;2375;2385;2405;1734;1499;1454;1450;1449;1411;1405
Центральный;Белгородская;Шебекино;735;735;735;725;725;680;705;695;695;695;685;740;740;740;700;610;445;347;347;344;344;339;337
Центральный;Брянская;Дятьково;550;710;552;532;532;610;500;500;500;500;500;480;470;470;470;442;493;392;328;325;308;297;270
Центральный;Брянская;Фокино;220;230;220;220;220;220;280;285;245;245;245;245;270;270;270;261;261;238;188;178;175;158;152
Центральный;Брянская;Жуковка;340;343;338;330;330;330;330;355;355;322;322;316;316;316;316;316;316;293;221;217;210;206;219
Центральный;Брянская;Злынка;135;285;285;335;125;125;125;125;125;120;120;120;120;115;115;115;115;377;305;240;240;240;230
Центральный;Брянская;Карачев;415;625;625;575;585;465;465;480;413;413;413;413;396;396;396;396;396;386;256;215;215;215;200
Центральный;Брянская;Мглин;205;470;470;475;475;475;475;475;475;475;461;461;461;459;459;459;424;403;340;312;304;304;175
Центральный;Брянская;Почеп;300;300;305;305;305;305;300;300;305;305;300;300;300;300;300;300;300;265;270;250;245;245;225
Центральный;Брянская;Севск;290;215;215;215;215;215;215;215;210;210;210;210;210;210;210;200;200;164;111;111;111;111;98
Центральный;Брянская;Стародуб;346;340;340;340;340;340;340;340;340;340;340;340;340;335;325;310;290;260;200;197;197;205;223
Центральный;Брянская;Сураж;275;255;255;250;250;250;250;250;250;250;247;247;247;247;247;239;222;221;129;129;129;120;120
Центральный;Брянская;Трубчевск;320;320;300;283;283;283;283;283;283;280;280;280;280;280;280;280;280;260;210;203;190;190;184
Центральный;Брянская;Унеча;510;510;510;500;500;490;490;480;480;450;450;430;400;400;405;375;377;323;234;230;215;215;203
Центральный;Брянская;Брянск;7794;7458;7120;7309;7223;7248;7069;7054;7242;7297;7312;7312;7199;7304;7186;7250;7115;6454;6322;6131;6063;6311;6104
Центральный;Брянская;Клинцы;865;745;745;745;755;770;740;715;685;685;665;665;665;660;660;660;655;637;653;646;633;639;641
Центральный;Брянская;Новозыбков;675;555;555;555;555;550;550;550;540;540;540;540;530;530;530;530;530;530;398;374;374;381;380
Центральный;Брянская;Сельцо;310;310;290;290;290;290;280;250;220;270;253;246;246;210;207;207;207;174;110;110;106;106;106
Центральный;Владимирская;Александров;680;657;667;687;682;957;917;914;917;886;789;793;740;768;759;712;682;586;490;517;455;456;476
Центральный;Владимирская;Карабаново;300;300;300;300;300;300;350;277;307;277;277;277;290;290;246;241;225;204;143;;;;
Центральный;Владимирская;Струнино;305;305;305;305;315;315;305;293;288;440;255;245;245;270;264;260;250;238;157;;;;
Центральный;Владимирская;Вязники;660;650;656;630;668;656;628;641;561;561;597;551;540;527;514;437;422;408;313;;;;298
Центральный;Владимирская;Гороховец;190;180;175;179;179;179;179;179;176;160;170;166;166;166;153;140;134;126;116;;;;
Центральный;Владимирская;Курлово;;;;;;;;;110;110;105;95;65;40;39;25;24;30;20;;;;
Центральный;Владимирская;Камешково;320;245;245;245;245;245;235;235;225;215;216;213;213;213;210;186;180;160;125;;;;
Центральный;Владимирская;Киржач;575;500;510;510;470;460;450;450;359;316;305;305;276;297;289;234;217;212;167;;;;
Центральный;Владимирская;Кольчугино;670;565;565;565;625;625;625;625;540;515;525;555;520;500;465;430;408;361;271;;;;
Центральный;Владимирская;Меленки;306;326;410;410;326;326;326;326;320;263;277;277;251;239;239;228;203;178;152;;;;
Центральный;Владимирская;Петушки;200;200;200;200;200;200;200;200;180;170;170;160;160;160;150;135;125;127;97;;;;
Центральный;Владимирская;Костерево;200;200;200;200;200;185;185;185;165;150;145;145;135;135;120;90;85;70;50;;;;
Центральный;Владимирская;Покров;185;185;185;185;185;175;175;175;165;150;165;162;142;142;117;110;105;99;55;;228;;
Центральный;Владимирская;Собинка;600;520;520;520;520;520;500;480;480;470;400;370;375;355;350;248;248;302;202;;;;
Центральный;Владимирская;Лакинск;105;90;75;80;80;80;80;75;75;75;75;75;75;79;74;62;60;;20;24;24;24;24
Центральный;Владимирская;Судогда;260;260;260;260;260;260;235;239;239;239;229;224;194;197;178;152;148;145;105;;;;
Центральный;Владимирская;Суздаль;205;205;200;200;200;200;200;200;200;200;200;200;200;170;170;156;156;156;114;;;;
Центральный;Владимирская;Юрьев-Польский;295;270;270;276;276;276;276;271;271;251;251;241;231;215;215;195;190;190;152;;;;
Центральный;Владимирская;Владимир;6190;6310;6560;6559;6439;6394;6424;6294;6259;6159;6149;6020;6039;5705;5173;5404;5108;4970;4645;4660;5343;5390;5504
Центральный;Владимирская;Гусь-Хрустальный;1560;1490;1460;1460;1460;1460;1460;1410;1340;885;830;805;740;695;661;576;522;511;504;;;;
Центральный;Владимирская;Ковров;2059;2050;1910;1680;1690;1815;1710;1955;1845;1850;1632;1722;1522;1450;1417;1379;1286;1229;1035;1002;1010;1010;981
Центральный;Владимирская;Муром;1330;1775;1395;1395;1395;1378;1378;1491;1490;1475;1428;1403;1383;1338;1318;1204;1126;1158;924;885;725;912;916
Центральный;Воронежская;Бобров;535;460;450;450;450;480;486;471;470;384;350;335;330;330;365;345;320;310;335;346;340;355;270
Центральный;Воронежская;Богучар;260;252;262;262;262;262;262;262;257;252;252;262;237;215;215;215;210;190;180;180;180;180;170
Центральный;Воронежская;Бутурлиновка;750;400;675;325;325;325;315;315;305;310;310;235;300;280;285;290;275;260;245;255;245;245;280
Центральный;Воронежская;Калач;300;315;315;380;584;350;350;350;350;350;350;345;310;380;380;390;375;345;330;340;340;340;340
Центральный;Воронежская;Лиски;830;805;785;800;770;764;765;765;768;765;777;772;772;772;767;755;680;552;522;517;534;534;534
Центральный;Воронежская;Новохоперск;260;260;260;270;270;280;270;270;260;260;260;240;250;250;240;242;242;195;206;206;206;165;165
Центральный;Воронежская;Острогожск;400;400;385;385;430;420;420;415;465;485;460;420;420;402;402;387;320;325;325;305;320;329;289
Центральный;Воронежская;Павловск (Воронежская область);735;500;380;490;575;655;665;665;671;660;660;568;518;508;532;508;478;460;450;450;455;455;415
Центральный;Воронежская;Поворино;200;200;200;170;170;170;170;170;170;150;150;150;160;140;140;195;195;165;114;105;105;105;175
Центральный;Воронежская;Россошь;605;695;675;685;675;830;705;610;610;675;720;590;675;620;655;720;660;560;495;470;470;470;500
Центральный;Воронежская;Семилуки;575;575;575;575;575;565;565;565;560;535;535;515;515;460;400;385;360;350;342;342;342;342;342
Центральный;Воронежская;Эртиль;400;240;240;240;240;240;240;240;240;240;240;200;200;221;208;208;170;150;140;135;135;135;135
Центральный;Воронежская;Воронеж;13955;14000;13810;14120;13835;13607;13700;13281;13175;13139;13111;12839;12614;12669;13058;12815;13232;11808;11818;12866;12570;12494;12316
Центральный;Воронежская;Борисоглебск;731;739;739;518;511;518;598;790;855;850;825;790;780;735;740;758;758;658;630;660;660;660;760
Центральный;Воронежская;Нововоронеж;500;500;503;485;485;440;440;440;325;325;325;355;355;360;335;325;325;325;325;325;325;325;305
Центральный;Ивановская;Гаврилов Посад;130;130;130;130;130;130;100;100;100;100;100;100;100;93;90;109;101;101;67;63;47;47;38
Центральный;Ивановская;Заволжск;270;270;270;255;255;255;255;255;226;226;226;186;180;191;121;106;76;93;60;60;43;43;43
Центральный;Ивановская;Кохма;205;165;165;165;155;155;100;100;100;100;100;100;100;71;71;66;66;99;138;121;130;271;281
Центральный;Ивановская;Наволоки;160;160;160;160;160;160;160;120;120;120;120;120;120;120;120;120;65;65;55;73;25;55;25
Центральный;Ивановская;Комсомольск;200;200;190;190;190;190;190;190;165;165;153;153;153;153;138;91;96;78;78;88;70;68;50
Центральный;Ивановская;Плес;60;60;60;60;60;60;40;40;40;40;40;40;40;40;40;20;15;13;13;;;;
Центральный;Ивановская;Приволжск;310;285;360;310;270;270;265;265;255;255;255;225;225;225;225;190;145;107;85;89;79;62;68
Центральный;Ивановская;Пучеж;265;200;265;200;200;200;200;165;155;155;155;150;150;102;112;100;100;83;64;64;58;58;58
Центральный;Ивановская;Родники;445;360;360;360;360;360;360;315;315;310;275;275;245;252;252;170;158;151;187;175;171;171;155
Центральный;Ивановская;Южа;345;305;245;330;330;330;330;262;262;262;262;210;210;210;205;194;166;166;85;89;85;70;75
Центральный;Ивановская;Юрьевец;280;280;280;275;210;210;180;180;180;180;180;180;180;190;190;128;96;84;67;76;75;72;60
Центральный;Ивановская;Иваново;8660;8570;7565;7550;7653;7817;7789;8042;8002;8036;8032;7845;7678;7703;7232;6659;6592;6482;6409;6456;6318;6350;6293
Центральный;Ивановская;Вичуга;725;725;685;685;725;725;725;725;725;725;685;550;550;550;455;315;284;260;246;235;217;217;204
Центральный;Ивановская;Кинешма;1585;2103;1918;1888;1585;1585;1520;1310;1240;1245;1223;1200;1200;1200;965;920;885;870;865;875;875;877;797
Центральный;Ивановская;Тейково;430;380;380;380;410;410;410;365;335;625;600;580;580;575;515;529;519;467;458;413;358;229;185
