FedDistrict;Region;City;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Центральный;Белгородская;Грайворон;5600;5600;5700;5800;5800;5800;5800;5700;5600;5500;5600;5900;6200;6100;6008;5991;6054;6091;6137;6234;6243;6326;6361
Центральный;Белгородская;Короча;5700;5900;6000;6000;6000;6100;6200;6100;6100;6100;6200;6100;6000;6000;5984;5944;5929;5921;5917;5877;5867;5854;5832
Центральный;Белгородская;Бирюч;;;;;;;;;;;;;;;;;7953;7919;7853;7846;7837;7708;7463
Центральный;Белгородская;Новый Оскол;20100;20300;20300;20600;20600;20700;20700;20700;20600;20700;20700;20800;20900;20800;20629;20539;20330;20198;20126;19530;19490;19159;19024
Центральный;Белгородская;Строитель;;;;;;;;;;;18200;18350;18500;19300;20103;20787;21384;21896;22464;23933;24056;24211;24260
Центральный;Белгородская;Белгород;312000;313100;315700;320100;320100;329000;329000;332800;336900;339800;342000;339800;337600;338600;340943;344242;348153;353043;358286;356402;357655;366110;373528
Центральный;Белгородская;Алексеевка;37300;37600;37900;38400;38400;38500;38500;38500;38500;38400;38300;38800;39300;39400;39309;39314;39326;39437;39340;39026;39038;38949;38979
Центральный;Белгородская;Валуйки;34400;34500;34900;35200;35200;35100;35100;35100;35000;34900;34800;35250;35700;35800;35755;35784;35868;35941;35667;35322;35268;34924;34627
Центральный;Белгородская;Губкин;76700;78500;80000;82400;82400;84600;84600;85100;85300;85300;85400;85750;86100;86400;86326;86180;86305;86376;86554;88560;88537;88106;87556
Центральный;Белгородская;Старый Оскол;183500;187700;192000;197200;197200;204400;204400;208200;211200;213200;215200;215650;216100;217300;217420;218189;219135;220229;221059;221085;220916;220619;220816
Центральный;Белгородская;Шебекино;44700;45000;45400;45900;45900;46000;46000;46100;46200;46500;46500;45850;45200;45500;45612;45608;45587;45630;45507;44279;44203;44012;43786
